ref_no,pmid,doi,year,topic,section,subtopic,n_citations,ms_pages,citation,url,claim
1,,10.3322/caac,2022,front matter,Overview,,2,"129,130","Siegel RL, Miller KD, Fuchs HE, Jemal A. Cancer statistics, 2022. CA: A Cancer Journal for Clinicians 2022;72:7-33.",https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.3322/caac.21708,"The American Cancer Society has estimated that 313,510 Americans will be diagnosed with breast cancer and 42,780 will die of disease in the United States in 2024."
2,38230766,,2024,front matter,Overview,,1,129,"Siegel RL, Giaquinto AN, Jemal A. Cancer statistics, 2024. CA Cancer J Clin 2024;74:12-49.",https://www.ncbi.nlm.nih.gov/pubmed/38230766,"The American Cancer Society has estimated that 313,510 Americans will be diagnosed with breast cancer and 42,780 will die of disease in the United States in 2024."
3,,,,front matter,Guidelines Update Methodology,,1,129,U.S. National Library of Medicine-Key MEDLINE® Indicators.,http://www.nlm.nih.gov/bsd/bsd_key.html,The PubMed database was chosen as it remains the most widely used resource for medical literature and indexes peer-reviewed biomedical literature.
4,,,2022,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"http://www.cap.org. Accessed April, 2022.",http://www.cap.org,"For pathology reporting, the NCCN Panel endorses the College of American Pathologists (CAP) Protocol for both invasive and noninvasive carcinomas of the breast."
5,31928354,,2020,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",Pathology Assessment:,2,"130,138","Allison KH, Hammond MEH, Dowsett M, et al. Estrogen and progesterone receptor testing in breast cancer: American Society of Clinical Oncology/College of American Pathologists guideline update. Arch Pathol Lab Med 2020;144:545-563.",https://www.ncbi.nlm.nih.gov/pubmed/31928354,"This is in accordance with the American Society for Clinical Oncology (ASCO)/CAP guidelines,"
6,20427430,,2010,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"Kerlikowske K, Molinaro AM, Gauthier ML, et al. Biomarker expression and risk of subsequent tumors after initial ductal carcinoma in situ diagnosis. J Natl Cancer Inst 2010;102:627-637.",http://www.ncbi.nlm.nih.gov/pubmed/20427430,"To date, studies have either found unclear or weak evidence of HER2 status as a prognostic indicator in DCIS,"
7,20929083,,2010,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"Stackievicz R, Paran H, Bernheim J, et al. Prognostic significance of HER-2/neu expression in patients with ductal carcinoma in situ. Isr Med Assoc J 2010;12:290-295.",http://www.ncbi.nlm.nih.gov/pubmed/20929083,"To date, studies have either found unclear or weak evidence of HER2 status as a prognostic indicator in DCIS,"
8,21118480,,2010,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"Zhou W, Jirstrom K, Johansson C, et al. Long-term survival of women with basal-like ductal carcinoma in situ of the breast: a population-based cohort study. BMC Cancer 2010;10:653.",http://www.ncbi.nlm.nih.gov/pubmed/21118480,"To date, studies have either found unclear or weak evidence of HER2 status as a prognostic indicator in DCIS,"
9,21552384,,2011,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"Lari SA, Kuerer HM. Biological markers in DCIS and risk of breast recurrence: A systematic review. J Cancer 2011;2:232-261.",http://www.ncbi.nlm.nih.gov/pubmed/21552384,"To date, studies have either found unclear or weak evidence of HER2 status as a prognostic indicator in DCIS,"
10,,10.1200/JCO,2021,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"Cobleigh MA, Anderson SJ, Siziopikou KP, et al. Comparison of Radiation With or Without Concurrent Trastuzumab for HER2-Positive Ductal Carcinoma In Situ Resected by Lumpectomy: A Phase III Clinical Trial. Journal of Clinical Oncology 2021;39:2367-2374.",https://ascopubs.org/doi/abs/10.1200/JCO.20.02824,"To date, studies have either found unclear or weak evidence of HER2 status as a prognostic indicator in DCIS, and no statistically significant benefit to the use of trastuzumab concurrently with radiation in HER2-amplified DCIS."
11,17693177,,2007,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,2,130,"Kuhl CK, Schrading S, Bieling HB, et al. MRI for diagnosis of pure ductal carcinoma in situ: a prospective observational study. Lancet 2007;370:485-492.",http://www.ncbi.nlm.nih.gov/pubmed/17693177,MRI has been prospectively shown to have a sensitivity of up to 98% for high-grade DCIS.
12,20217259,,2010,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"Allen LR, Lago-Toro CE, Hughes JH, et al. Is there a role for MRI in the preoperative assessment of patients with DCIS? Ann Surg Oncol 2010;17:2395-2400.",https://www.ncbi.nlm.nih.gov/pubmed/20217259,"However, other studies suggest that MRI can overestimate the extent of disease."
13,22911365,,2012,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"Davis KL, Barth RJ, Jr., Gui J, et al. Use of MRI in preoperative planning for women with newly diagnosed DCIS: risk or benefit? Ann Surg Oncol 2012;19:3270-3274.",https://www.ncbi.nlm.nih.gov/pubmed/22911365,"While several studies suggest no reduction in re-excision rates in patients with pure DCIS undergoing breast-conserving surgery (BCS) following MRI compared with those who did not undergo preoperative MRI,"
14,24385207,,2014,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"Pilewskie M, Olcese C, Eaton A, et al. Perioperative breast MRI is not associated with lower locoregional recurrence rates in DCIS patients treated with or without radiation. Ann Surg Oncol 2014;21:1552-1560.",https://www.ncbi.nlm.nih.gov/pubmed/24385207,"While several studies suggest no reduction in re-excision rates in patients with pure DCIS undergoing breast-conserving surgery (BCS) following MRI compared with those who did not undergo preoperative MRI,"
15,31281083,,2020,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,1,130,"Lam DL, Smith J, Partridge SC, et al. The impact of preoperative breast MRI on surgical management of women with newly diagnosed Ductal Carcinoma In Situ. Acad Radiol 2020;27:478-486.",https://www.ncbi.nlm.nih.gov/pubmed/31281083,"While several studies suggest no reduction in re-excision rates in patients with pure DCIS undergoing breast-conserving surgery (BCS) following MRI compared with those who did not undergo preoperative MRI, some have demonstrated a reduction in re-excision rate with use of preoperative MRI for DCIS."
16,34342501,,2021,"workup, imaging, staging","Ductal Carcinoma in Situ (Tis, N0, M0) > Workup for DCIS",,2,130,"Chou SS, Romanoff J, Lehman CD, et al. Preoperative breast MRI for newly diagnosed ductal carcinoma in situ: Imaging features and performance in a multicenter setting (ECOG-ACRIN E4112 trial). Radiology 2021;301:66-77.",https://www.ncbi.nlm.nih.gov/pubmed/34342501,"While several studies suggest no reduction in re-excision rates in patients with pure DCIS undergoing breast-conserving surgery (BCS) following MRI compared with those who did not undergo preoperative MRI, some have demonstrated a reduction in re-excision rate with use of preoperative MRI for DCIS."
17,16801628,,2006,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Bijker N, Meijnen P, Peterse JL, et al. Breast-conserving treatment with or without radiotherapy in ductal carcinoma-in-situ: ten-year results of European Organisation for Research and Treatment of Cancer randomized phase III trial 10853--a study by the EORTC Breast Cancer Cooperative Group and EORTC Radiotherapy Group. J Clin Oncol 2006;24:3381-3387.",http://www.ncbi.nlm.nih.gov/pubmed/16801628,
18,16864166,,2006,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Emdin SO, Granstrand B, Ringberg A, et al. SweDCIS: Radiotherapy after sector resection for ductal carcinoma in situ of the breast. Results of a randomised trial in a population offered mammography screening. Acta Oncol 2006;45:536-543.",http://www.ncbi.nlm.nih.gov/pubmed/16864166,
